,Title,Location,Price,Size,Listing_Type,Governorate,price_per_sqm,Size_boxcox
47,1144,27,2.2406230073365077,1.5218027041951698,0,7,0.49874939148221203,21.51763906014748
48,17,31,0.19446338666842175,-0.9347464434673918,0,7,1.2597314012634173,10.711933837777588
50,1123,26,3.604729421115232,2.280632022059521,0,7,0.7297227886318686,23.72300758566723
51,58,56,1.2806962717144428,-0.8318543325705305,0,7,2.8796368223631896,11.424725555403963
52,923,110,0.9775615130969485,1.5603872457814927,0,7,-0.10013905512058721,21.636699157586094
54,54,31,0.06815723724446582,-0.5360395137420546,0,7,0.32357108466500356,13.231948446749906
55,899,56,3.35211712226732,2.1262938557142292,0,7,0.6999152535396035,23.295818109391593
56,543,26,2.2153617774517165,-0.2530862087756862,0,7,2.2991126910624273,14.721862908821553
57,554,37,0.017634777474883453,-0.6903776800873465,0,7,0.4492730843903252,12.327902355135187
58,1212,70,2.0840033820508026,2.1648783973005523,0,7,0.19088005375495376,23.403546332064252
59,1195,27,2.0890556280277606,2.1648783973005523,0,7,0.1928410049506688,23.403546332064252
60,510,26,1.0786064326361133,-0.3431168058104398,0,7,1.2573573683388226,14.267974764928441
62,897,109,2.8468925245714964,2.1648783973005523,0,7,0.4869836843079219,23.403546332064252
65,506,110,0.06815723724446582,-0.3173937780862245,0,7,0.11586908885718203,14.399414622202082
66,12,26,-0.03288768229469892,-0.6003470830525929,0,7,0.2620510471523754,12.864376481416807
68,905,27,0.8259941337882014,0.08131315163911272,0,7,0.5082983712178678,16.276364326738054
72,1196,51,2.2153617774517165,2.8722616597164734,0,7,0.05198394723029416,25.276537858966954
73,74,34,-0.6896796592992698,0.8787270110897871,0,7,-0.8366583727997169,19.396001786667966
74,31,120,2.0890556280277606,-0.6389316246389158,0,7,3.3207973025058477,12.637743208610756
75,44,113,-0.6896796592992698,-1.0119155266400377,0,6,-0.4287435250118282,10.139392049101092
76,512,31,0.8259941337882014,-0.2788092364999015,0,7,0.8880873379769032,14.59391263995666
77,876,110,1.836443329179849,0.8787270110897871,0,7,0.6340550239865484,19.396001786667966
79,584,110,-0.28549998114261077,-0.40742437512097807,0,7,-0.21895874614948546,13.93284464905461
80,542,26,0.4470756855163336,-0.150194097878825,0,7,0.36442423457573303,15.220753099411704
81,883,109,0.16920215678363057,0.42857402591601934,0,7,-0.19934923419233533,17.71861759852652
85,514,48,0.6996879843642454,-0.2788092364999015,0,7,0.7543861200872429,14.59391263995666
86,558,48,0.017634777474883453,-0.5360395137420546,0,7,0.2582060448078362,13.231948446749906
87,547,31,0.4470756855163336,-0.5489010276041623,0,7,0.8340059464709734,13.159406343255014
91,27,56,0.6744267544794542,-0.703239193949454,0,7,1.4610925575040195,12.24900021219442
95,544,27,1.0280839728665307,-0.40742437512097807,0,7,1.3105831865082305,13.93284464905461
97,502,120,3.604729421115232,-0.16305561174093267,0,7,3.4654872862027952,15.159475725847086
99,1128,70,2.7205863751475405,2.1648783973005523,0,7,0.4379599044150463,23.403546332064252
100,905,27,0.5733818349402895,1.3931875655740933,0,7,-0.24837301408521079,21.114635363273724
101,888,55,-0.6896796592992698,0.23565131798440456,0,4,-0.7876345929068415,16.936015630615355
103,17,31,0.1186796970140482,-0.9347464434673918,0,7,1.1101673270139665,10.711933837777588
104,877,27,2.0890556280277606,2.1648783973005523,0,7,0.1928410049506688,23.403546332064252
105,596,51,0.8259941337882014,-0.40742437512097807,0,7,1.075269043022428,13.93284464905461
108,1192,58,1.0786064326361133,2.3578011052321672,0,7,-0.23670068553928808,23.932973913458383
109,11,26,0.7249492142490366,-0.6003470830525929,0,7,1.3002016801779746,12.864376481416807
111,27,56,1.0786064326361133,-0.5360395137420546,0,7,1.6308718818083505,13.231948446749906
112,584,110,-0.03288768229469892,-0.47173194443151634,0,7,0.1309162303491418,13.587783033942882
114,539,112,-0.4875898202209403,-0.6646546523631311,0,0,-0.32190868392452404,12.483953383934407
115,54,31,0.3207695360923777,-0.7932697909842076,0,7,1.11728942578775,11.67913652277448
116,17,31,0.8259941337882014,-0.703239193949454,0,7,1.6902946453148664,12.24900021219442
117,581,109,0.8259941337882014,2.1648783973005523,0,7,-0.29739679397808627,23.403546332064252
118,1207,32,2.0890556280277606,2.1648783973005523,0,7,0.1928410049506688,23.403546332064252
122,1198,70,3.09445257744245,2.7950925765438273,0,7,0.36308977638380674,25.080849115452644
127,941,70,1.2301738119448604,2.1648783973005523,0,7,-0.14052069832088465,23.403546332064252
128,25,31,-0.13393260183386366,0.7243888447444953,0,7,-0.4830613220830191,18.841759436230987
129,563,56,0.5733818349402895,-0.5360395137420546,0,7,0.9772214832366771,13.231948446749906
